A258441_1,Spring,Austin (TX),Euthanasia Request,Sick,Cat,14.0,female,true,gray,white,true,domestic shorthair,11/28/2014,12:20:00,PM,Nov,Fri,Euthanasia,Suffering,14.0,true,gray,white,domestic shorthair
A309706_1,Sammy,Bull Creek Rd & W 40Th St in Austin (TX),Stray,Normal,Dog,14.0,female,true,black,white,true,pit bull,03/13/2017,12:09:00,PM,Mar,Mon,Return to Owner,unknown,14.0,true,black,white,pit bull
A420143_1,Mitsy,Austin (TX),Owner Surrender,Normal,Cat,10.0,female,true,black,unknown,true,domestic shorthair,04/17/2016,02:18:00,AM,Apr,Sun,Transfer,Partner,10.0,true,black,unknown,domestic shorthair
A441798_1,Cooper,Slaughter/ Manchaca in Austin (TX),Stray,Normal,Dog,8.0,male,true,black,tan,true,german shepherd,06/26/2014,12:33:00,PM,Jun,Thu,Adoption,Foster,8.0,true,black,tan,german shepherd
A457029_1,Buddy,Austin (TX),Owner Surrender,Normal,Dog,9.0,male,true,black,brown,true,basset hound,07/17/2014,11:58:00,AM,Jul,Thu,Adoption,unknown,9.0,true,black,brown,basset hound
A489912_1,Jiggs,Austin (TX),Owner Surrender,Aged,Dog,10.0,male,true,tan,white,true,chihuahua shorthair,02/01/2016,03:12:00,AM,Feb,Mon,Adoption,unknown,10.0,true,tan,white,chihuahua shorthair
A569676_1,Jordan,Austin (TX),Owner Surrender,Normal,Dog,8.0,male,true,black,brown,true,yorkshire terrier,04/10/2016,02:01:00,AM,Apr,Sun,Return to Owner,unknown,8.0,true,black,brown,yorkshire terrier
A570007_1,Felix,2610 Manor Rd in Austin (TX),Stray,Normal,Cat,10.0,male,true,brown,white,true,domestic shorthair,03/07/2016,11:47:00,AM,Mar,Mon,Return to Owner,unknown,10.0,true,brown,white,domestic shorthair
A601159_1,Thor,Club Terrace And Montopolis Drive in Austin (TX),Stray,Normal,Dog,10.0,male,true,blue,white,false,great dane,12/21/2018,06:26:00,AM,Dec,Fri,Return to Owner,unknown,10.0,true,blue,white,great dane
A604301_1,*Tiffany,301 W 38Th in Austin (TX),Owner Surrender,Normal,Dog,6.0,female,true,black,unknown,true,labrador retriever,05/25/2016,11:29:00,AM,May,Wed,Adoption,Foster,6.0,true,black,unknown,labrador retriever
A604576_1,Cici,Austin (TX),Owner Surrender,Normal,Dog,5.0,female,true,white,unknown,true,border terrier,03/19/2016,03:07:00,AM,Mar,Sat,Return to Owner,unknown,5.0,true,white,unknown,border terrier
A604955_1,Pollydoodle,Austin (TX),Owner Surrender,Normal,Dog,4.0,female,true,brown,white,true,american staffordshire terrier,12/07/2014,06:42:00,AM,Dec,Sun,Adoption,unknown,4.0,true,brown,white,american staffordshire terrier
A604955_2,Pollydoodle,9308 Fm 969 in Travis (TX),Stray,Normal,Dog,3.0,female,true,brown,white,true,american staffordshire terrier,10/08/2013,03:48:00,AM,Oct,Tue,Return to Owner,unknown,3.0,true,brown,white,american staffordshire terrier
A604955_3,Pollydoodle,Fm 969 & Imperial Dr in Austin (TX),Stray,Normal,Dog,4.0,female,true,brown,white,true,american staffordshire terrier,01/11/2014,06:49:00,AM,Jan,Sat,Adoption,Foster,6.0,true,brown,white,american staffordshire terrier
A631106_1,Lucy,Austin (TX),Owner Surrender,Normal,Dog,4.0,female,true,black,tan,true,doberman pinsch,03/14/2016,01:12:00,AM,Mar,Mon,Adoption,Foster,4.0,true,black,tan,doberman pinsch
A631106_2,Lucy,Austin (TX),Owner Surrender,Normal,Dog,4.0,female,true,black,tan,true,doberman pinsch,02/11/2016,06:52:00,AM,Feb,Thu,Adoption,unknown,4.0,true,black,tan,doberman pinsch
A646174_1,Moe,13309 Constellation Dr in Manor (TX),Stray,Normal,Cat,7.0,male,true,white,brown,true,domestic shorthair,11/13/2015,11:07:00,AM,Nov,Fri,Return to Owner,unknown,7.0,true,white,brown,domestic shorthair
A648138_1,Gracie,Austin (TX),Owner Surrender,Normal,Dog,0.8333333,female,true,red,unknown,true,labrador retriever,11/18/2013,11:03:00,AM,Nov,Mon,Adoption,unknown,0.9166667,true,red,unknown,labrador retriever
A655121_1,Garfieled,Austin (TX),Owner Surrender,Normal,Cat,2.0,male,true,lynx,point,true,himalayan,03/04/2016,04:35:00,AM,Mar,Fri,Adoption,unknown,2.0,true,lynx,point,himalayan
A657537_1,Donna,Manchaca Road And Davis Lane in Austin (TX),Stray,Normal,Dog,5.0,female,true,fawn,white,false,pit bull,11/26/2017,04:48:00,AM,Nov,Sun,Return to Owner,unknown,5.0,true,fawn,white,pit bull
A658751_1,Benji,Austin (TX),Public Assist,Normal,Dog,5.0,male,true,tan,unknown,true,border terrier,11/05/2016,11:36:00,AM,Nov,Sat,Return to Owner,unknown,5.0,true,tan,unknown,border terrier
A658751_2,Benji,204 Red Bird in Austin (TX),Stray,Normal,Dog,4.0,male,true,tan,unknown,true,border terrier,05/06/2016,10:26:00,AM,May,Fri,Return to Owner,unknown,4.0,true,tan,unknown,border terrier
A661325_1,Alfonso,Wilma Rudolph Road And Georgia Coleman Bend in Austin (TX),Stray,Normal,Dog,6.0,male,true,black,white,true,shih tzu,12/31/2018,01:43:00,AM,Dec,Mon,Return to Owner,unknown,6.0,true,black,white,shih tzu
A661325_2,Alfonso,8Th St And Waller in Austin (TX),Stray,Normal,Dog,2.0,male,true,black,white,true,shih tzu,10/13/2014,02:31:00,AM,Oct,Mon,Return to Owner,unknown,2.0,true,black,white,shih tzu
A662921_1,Oliver,Austin (TX),Public Assist,Normal,Cat,5.0,male,true,blue,tabby,true,domestic medium hair,01/20/2019,04:27:00,AM,Jan,Sun,Adoption,Foster,0.16666667,true,blue,tabby,domestic medium hair
A663856_1,Sancha,E Oltorf Blvd And Ih35 in Austin (TX),Stray,Normal,Dog,4.0,female,true,brown,unknown,true,chihuahua shorthair,05/03/2015,11:35:00,AM,May,Sun,Return to Owner,unknown,4.0,true,brown,unknown,chihuahua shorthair
