A293634_1,Maddie,1706 City Park Road in Austin (TX),Stray,Normal,Dog,12.0,female,true,tricolor,unknown,true,australian shepherd,09/01/2014,11:36:00,AM,Sep,Mon,Return to Owner,unknown,12.0,true,tricolor,unknown,australian shepherd
A445392_1,Bullet,7904 Persimmon Trl in Austin (TX),Stray,Normal,Dog,12.0,male,true,brown,brindle,true,pit bull,01/01/2017,02:24:00,AM,Jan,Sun,Return to Owner,unknown,12.0,true,brown,brindle,pit bull
A533842_1,Philo,Greybull Trail/Buckaneer in Austin (TX),Stray,Normal,Dog,10.0,male,true,chocolate,unknown,false,labrador retriever,08/29/2014,11:41:00,AM,Aug,Fri,Return to Owner,unknown,10.0,true,chocolate,unknown,labrador retriever
A540548_1,Xandie,Austin (TX),Owner Surrender,Aged,Cat,11.0,female,true,orange,tabby,true,domestic longhair,02/24/2019,04:33:00,AM,Feb,Sun,Transfer,Partner,11.0,true,orange,tabby,domestic longhair
A543040_1,Perseus,Outside Jurisdiction,Owner Surrender,Normal,Cat,8.0,male,true,brown,white,true,domestic longhair,06/23/2017,04:07:00,AM,Jun,Fri,Adoption,unknown,8.0,true,brown,white,domestic longhair
A543040_2,Perseus,Austin (TX),Owner Surrender,Normal,Cat,8.0,male,true,brown,white,true,domestic longhair,06/14/2017,10:55:00,AM,Jun,Wed,Adoption,unknown,8.0,true,brown,white,domestic longhair
A555643_1,Lucy,Austin (TX),Owner Surrender,Normal,Cat,4.0,female,true,orange,tabby,true,domestic shorthair,08/09/2014,11:33:00,AM,Aug,Sat,Adoption,unknown,5.0,true,orange,tabby,domestic shorthair
A598966_1,Boo,Austin (TX),Owner Surrender,Normal,Cat,6.0,female,true,brown,white,true,domestic shorthair,11/16/2017,02:35:00,AM,Nov,Thu,Adoption,unknown,6.0,true,brown,white,domestic shorthair
A616030_1,Three,2535 Ridgepoint Drive in Austin (TX),Stray,Normal,Dog,7.0,male,true,white,unknown,true,standard poodle,04/06/2019,02:00:00,AM,Apr,Sat,Transfer,Partner,7.0,true,white,unknown,standard poodle
A623261_1,Baby,Austin (TX),Owner Surrender,Normal,Dog,9.0,female,true,black,white,true,pit bull,05/04/2019,04:33:00,AM,May,Sat,Adoption,unknown,9.0,true,black,white,pit bull
A623261_2,Baby,Travis (TX),Owner Surrender,Normal,Dog,9.0,female,true,black,white,true,pit bull,02/22/2019,12:35:00,PM,Feb,Fri,Adoption,unknown,9.0,true,black,white,pit bull
A624771_1,*Boudreaux,Austin (TX),Owner Surrender,Normal,Dog,6.0,male,true,tan,white,true,dogue de bordeaux,12/30/2016,07:13:00,AM,Dec,Fri,Adoption,unknown,6.0,true,tan,white,dogue de bordeaux
A624771_2,*Boudreaux,Austin (TX),Owner Surrender,Normal,Dog,5.0,male,true,tan,white,true,dogue de bordeaux,03/11/2016,07:13:00,AM,Mar,Fri,Adoption,Foster,7.0,true,tan,white,dogue de bordeaux
A624771_3,*Boudreaux,1808 Cesar Chavez St in Austin (TX),Stray,Normal,Dog,5.0,male,true,tan,white,true,dogue de bordeaux,03/09/2016,02:44:00,AM,Mar,Wed,Return to Owner,unknown,5.0,true,tan,white,dogue de bordeaux
