A421087_1,Pumpkin,Austin (TX),Public Assist,Normal,Dog,11.0,female,true,white,brown,true,shetland sheepdog,03/30/2015,12:31:00,PM,Mar,Mon,Return to Owner,unknown,11.0,true,white,brown,shetland sheepdog
A516259_1,Coco,Austin (TX),Owner Surrender,Normal,Dog,9.0,female,true,black,white,false,pit bull,12/16/2015,02:49:00,AM,Dec,Wed,Adoption,unknown,9.0,true,black,white,pit bull
A516260_1,Skye,Austin (TX),Owner Surrender,Normal,Dog,10.0,female,true,tan,white,true,pit bull,12/16/2015,02:49:00,AM,Dec,Wed,Euthanasia,Rabies Risk,10.0,true,tan,white,pit bull
A530122_1,Lola,183 & Research Blvd in Austin (TX),Stray,Normal,Dog,7.0,female,false,black,white,false,siberian husky,07/18/2014,01:43:00,AM,Jul,Fri,Transfer,Partner,7.0,true,black,white,siberian husky
A531317_1,Shadow,Austin (TX),Owner Surrender,Normal,Dog,10.0,male,true,black,white,true,pit bull,09/19/2017,01:59:00,AM,Sep,Tue,Adoption,unknown,10.0,true,black,white,pit bull
A531317_2,Shadow,Austin (TX),Owner Surrender,Normal,Dog,10.0,male,true,black,white,true,pit bull,09/08/2017,02:56:00,AM,Sep,Fri,Adoption,Foster,10.0,true,black,white,pit bull
A561980_1,Toby,Austin (TX),Owner Surrender,Normal,Dog,6.0,male,true,blue,white,false,chihuahua shorthair,04/11/2016,12:33:00,PM,Apr,Mon,Return to Owner,unknown,6.0,true,blue,white,chihuahua shorthair
A599448_1,Rudy,1399 Fm 1704 in Travis (TX),Stray,Normal,Dog,7.0,female,true,black,tan,true,beagle,09/24/2017,04:28:00,AM,Sep,Sun,Return to Owner,unknown,7.0,true,black,tan,beagle
A604679_1,Snowball,Austin (TX),Owner Surrender,Normal,Dog,6.0,male,true,cream,unknown,true,chihuahua shorthair,12/27/2014,03:30:00,AM,Dec,Sat,Transfer,Partner,6.0,true,cream,unknown,chihuahua shorthair
A609226_1,Swisher,Gilwell Drive And Diva Circle in Del Valle (TX),Stray,Normal,Dog,8.0,male,true,tan,white,true,boxer,11/29/2017,12:52:00,PM,Nov,Wed,Return to Owner,unknown,5.0,true,tan,white,boxer
