A326898_1,Silver,123 East Cesar Chavez in Austin (TX),Stray,Normal,Cat,14.0,female,true,blue,white,true,domestic shorthair,05/27/2017,12:15:00,PM,May,Sat,Return to Owner,unknown,14.0,true,blue,white,domestic shorthair
A332246_1,Boss,S Mopac Expy And Lake Austin Blvd in Austin (TX),Stray,Normal,Dog,14.0,male,false,brown,white,false,pit bull,04/22/2017,05:27:00,AM,Apr,Sat,Return to Owner,unknown,14.0,false,brown,white,pit bull
A461574_1,Little Joe,Redbud And Westlake Dr in Austin (TX),Stray,Normal,Dog,12.0,male,false,white,brown,true,parson russell terrier,04/10/2015,07:00:00,AM,Apr,Fri,Return to Owner,unknown,12.0,false,white,brown,parson russell terrier
A508027_1,Sasha,0000 E 14Th 1/2 St in Austin (TX),Stray,Injured,Dog,9.0,female,false,black,unknown,false,rottweiler,02/03/2016,07:18:00,AM,Feb,Wed,Euthanasia,Suffering,9.0,false,black,unknown,rottweiler
A508549_1,London,6000 Tara Dr in Austin (TX),Stray,Normal,Dog,9.0,female,true,brown,white,true,pit bull,04/06/2016,03:53:00,AM,Apr,Wed,Return to Owner,unknown,9.0,true,brown,white,pit bull
A509042_1,Charlie,Austin (TX),Owner Surrender,Normal,Cat,8.0,male,true,brown,white,true,domestic shorthair,10/26/2014,04:05:00,AM,Oct,Sun,Adoption,unknown,8.0,true,brown,white,domestic shorthair
A535484_1,Krunch,201 E. Parsons in Manor (TX),Stray,Normal,Dog,5.0,male,true,white,brown,true,pit bull,09/21/2014,06:13:00,AM,Sep,Sun,Adoption,unknown,5.0,true,white,brown,pit bull
A543073_1,Tiny Tinker,Austin (TX),Owner Surrender,Normal,Dog,9.0,female,true,brown,unknown,false,chihuahua shorthair,05/11/2015,04:53:00,AM,May,Mon,Return to Owner,unknown,9.0,true,brown,unknown,chihuahua shorthair
A543073_2,Tiny Tinker,Austin (TX),Owner Surrender,Normal,Dog,9.0,female,true,brown,unknown,false,chihuahua shorthair,04/28/2015,10:54:00,AM,Apr,Tue,Adoption,unknown,9.0,true,brown,unknown,chihuahua shorthair
A552877_1,Butterbean,Austin (TX),Owner Surrender,Normal,Cat,8.0,female,true,calico,unknown,true,domestic shorthair,02/14/2016,03:17:00,AM,Feb,Sun,Adoption,unknown,8.0,true,calico,unknown,domestic shorthair
A561418_1,Sis,Austin (TX),Public Assist,Normal,Dog,5.0,female,true,brown,white,true,pit bull,04/15/2014,04:11:00,AM,Apr,Tue,Return to Owner,unknown,5.0,true,brown,white,pit bull
A589404_1,Baby,2531 West Anderson Lane in Austin (TX),Stray,Normal,Dog,13.0,female,true,white,brown,true,pit bull,09/12/2018,04:45:00,AM,Sep,Wed,Return to Owner,unknown,13.0,true,white,brown,pit bull
A592540_1,Lulu,Pflugerville (TX),Owner Surrender,Normal,Dog,10.0,female,true,tan,unknown,true,dachshund,12/13/2018,03:14:00,AM,Dec,Thu,Return to Owner,unknown,10.0,true,tan,unknown,dachshund
A604775_1,Susie Q,11501 Manchaca in Travis (TX),Stray,Other,Dog,7.0,female,true,white,brown,true,dachshund,12/28/2013,11:27:00,AM,Dec,Sat,Transfer,Partner,7.0,true,white,brown,dachshund
A617445_1,Ms Blue,Austin (TX),Owner Surrender,Normal,Cat,6.0,female,true,blue,unknown,true,domestic shorthair,10/07/2017,05:32:00,AM,Oct,Sat,Adoption,unknown,6.0,true,blue,unknown,domestic shorthair
A619879_1,Teta,502 W Longspur Blvd in Austin (TX),Stray,Normal,Dog,8.0,female,true,black,brown,true,australian terrier,06/28/2016,11:34:00,AM,Jun,Tue,Return to Owner,unknown,8.0,true,black,brown,australian terrier
A625273_1,Pansy,505 E Hutland Dr in Austin (TX),Stray,Normal,Dog,13.0,female,false,black,tan,true,black,11/07/2013,11:02:00,AM,Nov,Thu,Return to Owner,unknown,13.0,false,black,tan,black
A638541_1,Alfalfa,9420 Singing Quail Dr in Austin (TX),Stray,Normal,Dog,10.0,male,true,tan,unknown,true,chihuahua shorthair,07/12/2018,01:09:00,AM,Jul,Thu,Return to Owner,unknown,10.0,true,tan,unknown,chihuahua shorthair
A638828_1,Gus,Middle Fiskville in Austin (TX),Public Assist,Aged,Dog,13.0,male,true,chocolate,white,true,australian cattle dog,07/07/2014,04:32:00,AM,Jul,Mon,Adoption,unknown,13.0,true,chocolate,white,australian cattle dog
A651202_1,Daisy,E Cesar Chavez And Mildred in Austin (TX),Stray,Normal,Dog,5.0,female,true,white,unknown,true,maltese,09/05/2014,03:42:00,AM,Sep,Fri,Return to Owner,unknown,5.0,true,white,unknown,maltese
A651449_1,Obie,2512 East Riverside in Austin (TX),Stray,Normal,Dog,6.0,male,true,black,white,true,australian cattle dog,09/08/2018,01:06:00,AM,Sep,Sat,Transfer,Partner,6.0,true,black,white,australian cattle dog
A653602_1,Matilda,Austin (TX),Owner Surrender,Normal,Cat,1.0,female,true,blue,unknown,true,domestic shorthair,04/12/2014,03:58:00,AM,Apr,Sat,Adoption,unknown,1.0,true,blue,unknown,domestic shorthair
A654038_1,Midnight,9300 Northgate Blvd #225 in Austin (TX),Public Assist,Normal,Cat,1.0,female,true,black,unknown,true,domestic shorthair,07/16/2014,04:17:00,AM,Jul,Wed,Return to Owner,unknown,1.0,true,black,unknown,domestic shorthair
A658124_1,Carolina,1901 Montopolis Dr in Austin (TX),Stray,Normal,Dog,7.0,female,false,black,tan,true,dachshund,07/30/2016,04:36:00,AM,Jul,Sat,Return to Owner,unknown,7.0,true,black,tan,dachshund
A658124_2,Carolina,1709 Lawrence Street in Austin (TX),Stray,Normal,Dog,8.0,female,true,black,tan,true,dachshund,02/23/2018,01:52:00,AM,Feb,Fri,Return to Owner,unknown,8.0,true,black,tan,dachshund
