A538360_1,Roscoe,Cesar Chavez/ in Austin (TX),Stray,Normal,Dog,9.0,female,true,white,black,true,rat terrier,12/14/2013,02:44:00,AM,Dec,Sat,Return to Owner,unknown,9.0,true,white,black,rat terrier
A558444_1,Harley,Rutland And Metric in Austin (TX),Stray,Normal,Dog,8.0,female,true,blue,white,false,pit bull,03/04/2018,02:17:00,AM,Mar,Sun,Return to Owner,unknown,8.0,true,blue,white,pit bull
A574026_1,*Louie,505 Swanee Dr Apt 102 in Austin (TX),Stray,Normal,Cat,6.0,male,true,white,orange,true,domestic shorthair,04/27/2016,11:13:00,AM,Apr,Wed,Adoption,Foster,6.0,true,white,orange,domestic shorthair
A575214_1,Bebe,6902 Deep Cir #A in Austin (TX),Owner Surrender,Normal,Dog,7.0,female,true,blue,white,true,blue lacy,08/05/2015,03:57:00,AM,Aug,Wed,Adoption,unknown,7.0,true,blue,white,blue lacy
A577781_1,Charlie,Austin (TX),Public Assist,Normal,Dog,13.0,female,true,brown,white,true,australian shepherd,11/26/2013,01:41:00,AM,Nov,Tue,Transfer,Partner,13.0,true,brown,white,australian shepherd
A585865_1,Jack,1800 E Stassney Ln in Austin (TX),Stray,Normal,Cat,8.0,male,true,brown,tabby,true,maine coon,01/05/2014,02:12:00,AM,Jan,Sun,Return to Owner,unknown,8.0,true,brown,tabby,maine coon
A613676_1,Hudson Hawk,902 Olive St in Austin (TX),Stray,Normal,Dog,6.0,male,true,white,tan,false,beagle,12/19/2014,05:22:00,AM,Dec,Fri,Return to Owner,unknown,6.0,true,white,tan,beagle
A613676_2,Hudson Hawk,2206 New York Avenue in Austin (TX),Stray,Normal,Dog,5.0,male,true,white,tan,false,beagle,09/27/2014,04:15:00,AM,Sep,Sat,Return to Owner,unknown,5.0,true,white,tan,beagle
A613676_3,Hudson Hawk,12Th/Ih-35 in Austin (TX),Stray,Normal,Dog,5.0,male,true,white,tan,false,beagle,08/15/2014,01:34:00,AM,Aug,Fri,Return to Owner,unknown,5.0,true,white,tan,beagle
A613676_4,Hudson Hawk,12Th St And Ih 35 in Austin (TX),Stray,Normal,Dog,7.0,male,true,white,tan,false,beagle,03/29/2016,12:56:00,PM,Mar,Tue,Return to Owner,unknown,7.0,true,white,tan,beagle
A613676_5,Hudson Hawk,Airport Blvd And E 12Th St in Austin (TX),Stray,Normal,Dog,7.0,male,true,white,tan,false,beagle,01/02/2016,01:22:00,AM,Jan,Sat,Return to Owner,unknown,7.0,true,white,tan,beagle
A615521_1,Marley,12166 Metric Blvd in Austin (TX),Stray,Normal,Dog,6.0,male,false,tan,unknown,true,labrador retriever,12/02/2015,11:34:00,AM,Dec,Wed,Return to Owner,unknown,6.0,true,tan,unknown,labrador retriever
A619865_1,Chuckie,7115 Howerington Cir in Austin (TX),Stray,Normal,Dog,5.0,male,true,red,white,true,rhod ridgeback,06/02/2014,09:28:00,AM,Jun,Mon,Adoption,unknown,5.0,true,red,white,rhod ridgeback
A650539_1,Romeo,Austin (TX),Owner Surrender,Normal,Dog,1.0,male,false,white,brown,true,labrador retriever,03/11/2014,11:06:00,AM,Mar,Tue,Adoption,unknown,1.0,true,white,brown,labrador retriever
A651000_1,Radar,3737 Keats Dr #125 in Austin (TX),Public Assist,Normal,Cat,13.0,male,true,black,white,false,domestic shorthair,11/12/2014,10:57:00,AM,Nov,Wed,Return to Owner,unknown,13.0,true,black,white,domestic shorthair
A651686_1,Biscuit,Austin (TX),Owner Surrender,Normal,Cat,4.0,male,true,brown,white,true,domestic medium hair,01/09/2015,05:27:00,AM,Jan,Fri,Adoption,Foster,4.0,true,brown,white,domestic medium hair
A654600_1,Fritz,Austin (TX),Stray,Injured,Dog,6.0,male,true,sable,white,true,labrador retriever,04/04/2019,08:56:00,AM,Apr,Thu,Return to Owner,unknown,6.0,true,sable,white,labrador retriever
A659621_1,*Olga,Austin (TX),Owner Surrender,Normal,Cat,0.25,female,true,tortie,unknown,true,domestic shorthair,10/21/2013,06:00:00,AM,Oct,Mon,Adoption,unknown,0.25,true,tortie,unknown,domestic shorthair
A664097_1,Remmy,South Austin in Austin (TX),Stray,Normal,Dog,0.75,female,false,black,white,true,pointer,10/11/2013,08:51:00,AM,Oct,Fri,Transfer,Partner,0.75,false,black,white,pointer
A664097_2,Remmy,Austin (TX),Owner Surrender,Normal,Dog,0.75,female,false,black,white,true,pointer,10/08/2013,01:46:00,AM,Oct,Tue,Transfer,Partner,0.75,false,black,white,pointer
A664548_1,Katniss,Austin (TX),Owner Surrender,Normal,Cat,0.5,female,false,tortie,unknown,true,domestic medium hair,10/05/2013,11:37:00,AM,Oct,Sat,Transfer,Partner,0.5,false,tortie,unknown,domestic medium hair
A664572_1,Twilight,Hwy 183 And  51St  St in Austin (TX),Stray,Normal,Dog,2.0,female,true,white,brown,true,chihuahua shorthair,10/05/2013,02:10:00,AM,Oct,Sat,Transfer,Partner,2.0,true,white,brown,chihuahua shorthair
A664925_1,*Cloe,11349 Church Canyon Dr. in Austin (TX),Stray,Normal,Cat,3.0,female,true,brown,white,true,domestic shorthair,10/10/2013,10:49:00,AM,Oct,Thu,Transfer,Partner,3.0,true,brown,white,domestic shorthair
A664984_1,Buddy,7612 Marl in Austin (TX),Stray,Normal,Dog,1.0,male,false,blue,unknown,true,pit bull,10/12/2013,11:11:00,AM,Oct,Sat,Adoption,unknown,1.0,true,blue,unknown,pit bull
